unidade;ano;mes;altas_ate_10h;saidas;tx_alta_ate_10h
CHPB;2019;1;2;33;0,06060606060606061
CHPB;2019;2;8;36;0,2222222222222222
CHPB;2019;3;4;27;0,14814814814814814
CHPB;2019;4;4;21;0,19047619047619047
CHPB;2019;5;3;37;0,08108108108108109
CHPB;2019;6;9;26;0,34615384615384615
CHPB;2019;7;3;25;0,12
CHPB;2019;8;5;28;0,17857142857142858
CHPB;2019;9;4;32;0,125
CHPB;2019;10;7;39;0,1794871794871795
CHPB;2019;11;3;28;0,10714285714285714
CHPB;2019;12;4;39;0,10256410256410256
CHPB;2020;1;6;43;0,13953488372093023
CHPB;2020;2;5;35;0,14285714285714285
CHPB;2020;3;7;38;0,18421052631578946
CHPB;2020;4;13;28;0,4642857142857143
CHPB;2020;5;11;29;0,3793103448275862
CHPB;2020;6;4;27;0,14814814814814814
CHPB;2020;7;11;34;0,3235294117647059
CHPB;2020;8;10;39;0,2564102564102564
CHPB;2020;9;11;34;0,3235294117647059
CHPB;2020;10;7;29;0,2413793103448276
CHPB;2020;11;5;26;0,19230769230769232
CHPB;2020;12;17;38;0,4473684210526316
CHPB;2021;1;12;52;0,23076923076923078
CHPB;2021;2;7;29;0,2413793103448276
CHPB;2021;3;11;32;0,34375
CHPB;2021;4;5;30;0,16666666666666666
CHPB;2021;5;8;27;0,2962962962962963
CHPB;2021;6;11;34;0,3235294117647059
CHPB;2021;7;11;34;0,3235294117647059
CHPB;2021;8;8;31;0,25806451612903225
CHPB;2021;9;12;34;0,35294117647058826
CHPB;2021;10;11;45;0,24444444444444444
CHPB;2021;11;20;49;0,40816326530612246
CHPB;2021;12;12;38;0,3157894736842105
CHPB;2022;1;12;24;0,5
CHPB;2022;2;11;27;0,4074074074074074
CHPB;2022;3;8;24;0,3333333333333333
CHPB;2022;4;15;38;0,39473684210526316
CHPB;2022;5;10;38;0,2631578947368421
CHPB;2022;6;9;45;0,2
CHPB;2022;7;11;40;0,275
CHPB;2022;8;8;36;0,2222222222222222
CHPB;2022;9;15;37;0,40540540540540543
CHPB;2022;10;11;39;0,28205128205128205
CHPB;2022;11;12;47;0,2553191489361702
CHPB;2022;12;13;40;0,325
CHPB;2023;1;10;41;0,24390243902439024
CHPB;2023;2;19;39;0,48717948717948717
CHPB;2023;3;19;50;0,38
CHPB;2023;4;14;46;0,30434782608695654
CHPB;2023;5;24;59;0,4067796610169492
CHPB;2023;6;9;47;0,19148936170212766
CHPB;2023;7;15;49;0,30612244897959184
CHPB;2023;8;19;44;0,4318181818181818
CHPB;2023;9;7;33;0,21212121212121213
CHPB;2023;10;15;50;0,3
CHPB;2023;11;10;36;0,2777777777777778
CHPB;2023;12;11;48;0,22916666666666666
CHPB;2024;1;11;42;0,2619047619047619
CHPB;2024;2;13;55;0,23636363636363636
CHPB;2024;3;13;35;0,37142857142857144
CHPB;2024;4;27;49;0,5510204081632653
CHPB;2024;5;16;41;0,3902439024390244
CHPB;2024;6;18;43;0,4186046511627907
CHPB;2024;7;18;47;0,3829787234042553
CHPB;2024;8;20;43;0,46511627906976744
CHPB;2024;9;8;45;0,17777777777777778
CHPB;2024;10;20;56;0,35714285714285715
CHPB;2024;11;15;47;0,3191489361702128
CHPB;2024;12;20;57;0,3508771929824561
CHPB;2025;1;10;42;0,23809523809523808
CHPB;2025;2;21;43;0,4883720930232558
CHPB;2025;3;21;49;0,42857142857142855
CHPB;2025;4;30;53;0,5660377358490566
CHPB;2025;5;16;47;0,3404255319148936
CHPB;2025;6;27;55;0,4909090909090909
CHPB;2025;7;14;42;0,3333333333333333
CHPB;2025;8;22;46;0,4782608695652174
CHPB;2025;9;10;31;0,3225806451612903
CHPB;2025;10;22;43;0,5116279069767442
CHPB;2025;11;12;33;0,36363636363636365
CHPB;2025;12;12;40;0,3
CHPB;2026;1;21;44;0,4772727272727273
CHPB;2026;2;19;42;0,4523809523809524
CHPB;2026;3;17;54;0,3148148148148148
CSPD;2019;1;27;33;0,8181818181818182
CSPD;2019;2;24;44;0,5454545454545454
CSPD;2019;3;7;26;0,2692307692307692
CSPD;2019;4;19;38;0,5
CSPD;2019;5;12;36;0,3333333333333333
CSPD;2019;6;12;49;0,24489795918367346
CSPD;2019;7;16;35;0,45714285714285713
CSPD;2019;8;9;37;0,24324324324324326
CSPD;2019;9;20;38;0,5263157894736842
CSPD;2019;10;17;34;0,5
CSPD;2019;11;9;30;0,3
CSPD;2019;12;12;28;0,42857142857142855
CSPD;2020;1;27;45;0,6
CSPD;2020;2;20;47;0,425531914893617
CSPD;2020;3;17;34;0,5
